FIPS,County,Total_Population_2019_est,Kemp_Votes,Abrams_Votes,Total_Population_2016,White,Black_or_African_American,American_Indian_or_Alaskan_Native,Asian,Native_Hawaiian_Other_Pacific_Islander,Two_or_more_races,POC_sum_non_white,0_to_4_2016,5_to_9_2016,10_to_14_2016,15_to_19_2016,20_to_24_2016,25_to_29_2016,30_to_34_2016,35_to_39_2016,40_to_44_2016,45_to_49_2016,50_to_54_2016,55_to_59_2016,60_to_64_2016,65_to_69_2016,70_to_74_2016,75_to_79_2016,80_to_84_2016,85_or_older_2016,Median_Age,Cases_4.20,Deaths_4.20,Recovered_4.20,Active_4.20,2018_GDP_1000s_Chained_Dollars,Per_Capita_Personal_Income_2018
13153,Houston,157863,34314,24358,152122,95089,47233,718,4461,285,4336,57033,10271,11249,10962,10175,10135,11297,11135,10327,9356,9522,10908,10020,7962,6627,4580,3351,2420,1825,35.4,185,12,0,173,6039600,42625
13155,Irwin,9416,2701,851,9422,6618,2595,19,84,3,103,2804,453,558,629,603,596,649,577,597,622,670,609,573,558,534,429,325,222,218,40.4,15,0,0,15,181549,32824
13157,Jackson,72977,21950,4674,64615,57337,4626,255,1246,45,1106,7278,4305,4490,4992,4144,3551,4026,4169,4533,4431,4793,4500,4215,3530,3296,2407,1609,908,716,37.9,56,1,0,55,2647300,42211
13159,Jasper,14219,4430,1484,13654,10552,2764,74,41,2,221,3102,818,897,993,857,735,777,778,758,859,940,1000,1072,943,870,563,346,258,190,41.3,17,0,0,17,238754,40606
13161,Jeff_Davis,15115,3979,814,14877,12196,2278,114,110,13,166,2681,1053,1155,1119,1097,827,908,888,936,961,958,989,947,864,764,577,412,259,163,37.1,7,1,0,6,397699,29943
13163,Jefferson,15362,3177,3564,15916,7144,8458,35,123,13,143,8772,985,1052,1062,1004,946,1049,908,906,905,977,1087,1065,1105,992,695,512,309,357,40.3,11,1,0,10,514017,34034
13165,Jenkins,8676,1857,1004,8849,4844,3803,43,50,21,88,4005,494,525,511,579,627,695,563,555,547,554,603,577,544,516,374,248,169,168,38.8,13,1,0,12,135816,29250
13167,Johnson,9643,2524,948,9505,6083,3282,27,28,2,83,3422,414,457,575,512,571,630,654,651,685,705,732,730,631,529,412,256,188,173,42.1,34,1,0,33,136228,26195
13169,Jones,28735,8438,3938,28623,20820,7169,92,181,4,357,7803,1474,1809,2132,1989,1631,1617,1626,1813,1786,1989,2149,2013,1823,1748,1215,799,581,429,40.6,20,0,0,20,388998,37618
13171,Lamar,19077,5105,2195,18469,12376,5607,63,111,7,305,6093,1020,1066,1066,1712,1518,1234,993,969,1057,1120,1230,1249,1146,1086,830,527,358,288,38.3,29,0,0,29,396516,33079
13173,Lanier,10423,1910,762,10399,7612,2259,99,133,4,292,2787,769,790,714,568,617,866,819,743,633,579,724,692,553,494,320,252,143,123,35.4,7,1,0,6,154894,27561
13175,Laurens,47546,12484,6375,47516,28898,17366,153,507,13,579,18618,3143,3209,3298,3089,2864,3005,2651,2919,2787,3022,3128,3192,2922,2691,2036,1465,1039,1056,39.3,43,1,0,42,1835285,37372
13177,Lee,29992,10120,3356,29337,22004,6073,110,743,28,379,7333,1907,2104,2334,2200,1591,1762,1994,2127,2158,2152,1855,1944,1688,1510,857,548,347,259,36.8,277,17,0,260,546644,47258
13179,Liberty,61435,5557,9696,62570,30521,27010,452,1333,395,2859,32049,6220,5040,4081,3903,7614,7160,4969,3738,2929,2845,3057,3067,2584,2046,1565,849,521,382,27.8,34,0,0,34,3212350,35805
13181,Lincoln,7921,2756,1188,7828,5219,2412,36,39,1,121,2609,400,444,401,447,437,450,402,335,425,443,573,692,668,629,449,304,181,148,46.9,9,0,0,9,131430,37333
13183,Long,19559,2591,1371,18437,12385,4876,148,188,98,742,6052,1484,1525,1384,1303,1205,1610,1566,1402,1219,1160,1152,1078,897,595,313,230,146,168,32.3,2,0,0,2,120961,27071
13185,Lowndes,117406,20488,15024,114628,66977,42353,518,2201,175,2404,47651,7952,8029,7181,9251,15097,9306,7813,6648,6043,6123,6331,6121,5312,4747,3257,2422,1617,1378,30.3,105,3,0,102,4563203,37443
13187,Lumpkin,33610,9157,2228,31445,29839,544,223,232,41,566,1606,1423,1608,1647,2942,3859,1816,1587,1657,1641,1695,1967,2222,2111,1956,1458,902,551,403,37.4,25,0,0,25,696558,37427
13189,Macon,21312,1556,2652,21490,12067,8864,85,111,19,344,9423,1467,1533,1528,1440,1267,1327,1231,1162,1177,1294,1548,1496,1365,1295,962,641,416,341,39.1,55,1,0,54,624689,36982
13191,Madison,14378,9181,2418,13927,8812,4749,83,59,15,209,5115,602,659,709,724,752,754,630,673,749,895,1055,1161,1317,1079,902,617,348,301,49,16,1,0,15,193322,29519
13193,Marion,12947,1872,1037,13450,4957,8062,65,228,18,120,8493,684,719,684,816,1025,1060,956,861,794,820,985,1024,930,779,584,348,211,170,39.5,29,1,0,28,428881,31028
13195,McDuffie,29880,5323,3427,28824,25113,2661,100,501,9,440,3711,1746,1863,1854,1757,1747,1692,1695,1692,1852,1931,2221,2101,1956,1676,1258,890,520,373,41.1,37,3,0,34,482010,36557
13197,McIntosh,8359,3218,2161,8524,5474,2651,92,89,76,142,3050,435,554,511,518,497,486,446,425,490,520,722,699,615,566,441,313,177,109,44.1,4,0,0,4,128418,29333
13199,Meriwether,21167,5093,3501,21074,12257,8256,109,138,11,303,8817,1251,1288,1232,1323,1219,1325,1108,1200,1091,1305,1559,1575,1499,1456,1077,723,464,379,42.8,47,0,0,47,486486,34847
13201,Miller,5718,1803,502,5926,4192,1589,25,37,7,76,1734,347,414,376,348,338,328,334,336,305,365,434,397,378,358,272,236,193,167,42.6,23,0,0,23,171059,40826
13205,Mitchell,21863,4187,3245,22459,11211,10747,126,141,13,221,11248,1326,1512,1452,1434,1412,1518,1430,1437,1402,1467,1524,1555,1327,1205,889,699,427,443,39,214,23,0,191,710687,35069
13207,Monroe,27578,9308,3516,27306,20275,6294,93,277,9,358,7031,1378,1492,1635,1732,1674,1604,1485,1597,1667,1866,2047,2159,2069,1720,1223,882,534,542,43.4,15,0,0,15,1636124,44790
13209,Montgomery,9172,2686,821,9060,6518,2374,15,40,1,112,2542,484,533,538,683,698,596,567,497,559,602,596,637,543,529,392,329,169,108,39.4,2,0,0,2,141780,29408
13211,Morgan,19276,6807,2675,18170,13452,4162,140,137,9,270,4718,966,1085,1289,1180,1020,912,933,979,1094,1207,1360,1383,1257,1205,886,661,420,333,43.5,22,0,0,22,672292,50541
13213,Murray,40096,9512,1489,39315,37647,472,389,204,110,493,1668,2401,2709,2936,2660,2447,2608,2291,2508,2619,2853,2912,2669,2172,2016,1552,963,594,405,38.2,19,0,0,19,1250877,29968
13215,Muscogee,195769,24348,38462,197485,91888,93028,996,5326,473,5774,105597,14561,13830,12546,12973,15778,16700,14982,13096,11642,11313,11977,12189,10700,8609,5921,4211,3201,3256,34.1,234,4,0,230,9713550,44149
13217,Newton,111744,19449,23412,106999,55126,48080,381,1205,109,2098,51873,7003,7858,8423,8439,6977,6747,6435,6882,7299,7857,7492,6519,5519,5102,3562,2249,1418,1218,36.2,139,4,0,135,2415670,33750
13219,Oconee,40280,14480,6015,36838,32777,1937,101,1481,14,528,4061,2024,2679,3162,2963,1971,1510,1795,2427,2591,2891,2675,2578,2246,1942,1391,875,531,587,39.8,53,0,0,53,1254367,66740
13221,Oglethorpe,15259,4568,1847,14921,11868,2527,51,193,7,275,3053,823,843,939,901,846,886,895,838,923,1069,1099,1185,930,918,722,505,329,270,42.9,34,3,0,31,331793,37709
13223,Paulding,168667,40784,19959,155825,120108,29874,619,1664,112,3448,35717,9986,11477,12673,11649,9495,10009,10145,11070,11971,12964,11457,9581,7211,6302,4271,2764,1640,1160,36.1,143,7,0,136,2290287,37727
13225,Peach,27546,5432,4966,26655,13883,11830,126,308,21,487,12772,1603,1616,1647,2193,2409,1813,1562,1458,1489,1537,1884,1941,1653,1434,926,701,450,339,36.6,35,2,0,33,938621,38066
13227,Pickens,32591,11331,1901,30832,29639,389,144,243,10,407,1193,1526,1706,1891,1788,1606,1797,1519,1625,1801,2082,2203,2392,2311,2489,1815,1124,640,517,45.4,18,2,0,16,929381,47887
13229,Pierce,19465,6123,738,19171,16886,1684,158,150,17,276,2285,1213,1300,1437,1307,1088,1087,1130,1280,1230,1297,1323,1269,1097,1093,810,556,346,308,39,51,2,0,49,371570,36065
13231,Pike,18962,7322,1164,17941,15839,1700,49,80,3,270,2102,871,1033,1399,1418,1040,965,990,1029,1279,1378,1423,1261,1100,949,738,503,317,248,40.9,34,2,0,32,278801,39851
13233,Polk,42613,10177,2588,41776,34876,5417,321,375,78,709,6900,2831,3041,3051,2771,2533,2937,2694,2550,2444,2656,2720,2752,2371,2216,1696,1141,756,616,36.9,36,0,0,36,1181529,32368
13235,Pulaski,11137,2527,1079,11251,7320,3624,52,114,10,131,3931,483,619,656,593,687,703,671,676,686,792,816,791,798,744,588,465,263,220,44,17,1,0,16,265086,30358
13237,Putnam,22119,6704,2579,21477,15159,5783,99,134,57,245,6318,1173,1239,1258,1162,1044,1257,1207,1065,1057,1357,1444,1641,1726,1779,1335,855,488,390,46.1,26,2,0,24,445696,41839
13239,Quitman,2299,522,410,2335,1172,1113,16,7,0,27,1163,96,116,123,119,103,107,113,96,101,126,164,174,205,234,194,118,69,77,52,3,1,0,2,49138,30902
13241,Rabun,17137,6063,1428,16559,15740,258,93,166,12,290,819,743,751,782,1006,823,865,831,812,940,994,1086,1268,1264,1482,1202,804,506,400,48.6,8,0,0,8,466083,41128
