FIPS,County,Total_Population_2019_est,Kemp_Votes,Abrams_Votes,Total_Population_2016,White,Black_or_African_American,American_Indian_or_Alaskan_Native,Asian,Native_Hawaiian_Other_Pacific_Islander,Two_or_more_races,POC_sum_non_white,0_to_4_2016,5_to_9_2016,10_to_14_2016,15_to_19_2016,20_to_24_2016,25_to_29_2016,30_to_34_2016,35_to_39_2016,40_to_44_2016,45_to_49_2016,50_to_54_2016,55_to_59_2016,60_to_64_2016,65_to_69_2016,70_to_74_2016,75_to_79_2016,80_to_84_2016,85_or_older_2016,Median_Age,Cases_4.20,Deaths_4.20,Recovered_4.20,Active_4.20,2018_GDP_1000s_Chained_Dollars,Per_Capita_Personal_Income_2018
13301,Warren,5254,1053,1200,5442,2113,3222,15,31,0,61,3329,292,325,351,287,312,306,265,267,261,323,411,446,425,337,359,197,141,137,46,10,0,0,10,190039,34598
13303,Washington,20374,4128,4012,20457,9179,10890,37,137,4,210,11278,1216,1353,1216,1228,1360,1342,1245,1237,1156,1238,1556,1521,1328,1189,843,590,412,427,40.1,25,1,0,24,580610,35296
13305,Wayne,29927,8120,1940,30104,23056,6024,182,189,36,617,7048,2016,2140,2043,1817,1750,2086,1985,1956,1907,2012,2027,1919,1786,1625,1188,850,560,437,38.1,9,0,0,9,716988,31954
13307,Webster,2607,659,440,2599,1425,1104,11,12,0,47,1174,121,120,176,182,132,121,121,117,158,185,212,211,194,179,123,102,71,74,46.3,7,0,0,7,68097,33109
13309,Wheeler,7855,1372,555,7978,4814,3038,8,20,2,96,3164,338,386,404,382,638,755,686,603,617,629,562,483,403,379,311,174,103,125,38.5,3,0,0,3,126380,19631
13311,White,30798,9667,1647,28884,27511,593,161,153,15,451,1373,1387,1593,1824,1965,1735,1588,1362,1546,1617,1866,2012,2121,2054,2131,1692,1145,742,504,44.5,31,0,0,31,651770,34961
13313,Whitfield,104628,19758,7323,104589,94885,4532,1450,1743,210,1769,9704,7130,7846,8080,7631,7066,7257,6643,6716,6731,7165,6912,6208,5333,4605,3565,2488,1698,1515,35.5,46,4,0,42,5604981,38752
13315,Wilcox,8635,2064,745,8761,5497,3051,24,62,1,126,3264,457,464,481,458,596,675,650,621,609,614,609,567,522,474,318,266,203,177,39.8,45,5,0,40,147790,26712
13317,Wilkes,9777,2578,1774,9805,5384,4116,26,93,1,185,4421,535,623,566,586,521,513,484,510,517,605,706,750,703,658,619,383,260,266,45.4,19,0,0,19,299631,39472
13319,Wilkinson,8954,2373,1877,9104,5344,3529,44,52,3,132,3760,504,624,614,541,499,472,538,503,465,547,737,701,656,530,440,330,212,191,42.8,22,2,0,20,469070,35204
13321,Worth,20247,5915,1894,20748,14382,5879,81,130,18,258,6366,1241,1344,1327,1295,1193,1360,1183,1114,1160,1328,1478,1549,1403,1268,1017,665,424,399,41.5,129,8,0,121,335248,34380
